what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jee.ui,1.0.302.v201009011600,"org.eclipse.jst.jee.ui",1333808547817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1333808548121
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1333808548288
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1333808548297
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1333808556121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1333808556148
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1333808556189
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1333808556512
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1333808556596
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333808563091
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1333808563091
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1333808565817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1333808573198
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1333808576857
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1333808576932
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1333808577397
error,log,,,"Several ports (8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1333808596963
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1333808597032
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1333808599352
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1333808599434
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1333808599437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1333808599535
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1333808599605
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1333808602999
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1333808605711
